"DATA_YEAR","ORI","PUB_AGENCY_NAME","PUB_AGENCY_UNIT","AGENCY_TYPE_NAME","STATE_ABBR","STATE_NAME","DIVISION_NAME","COUNTY_NAME","REGION_NAME","POPULATION_GROUP_CODE","POPULATION_GROUP_DESC","OFFENSE_SUBCAT_ID","OFFENSE_NAME","OFFENSE_SUBCAT_NAME","ACTUAL_COUNT","UNFOUNDED_COUNT","CLEARED_COUNT","JUVENILE_CLEARED_COUNT"
2016,"MO0480600","Independence","","City","MO","Missouri","West North Central","JACKSON","Midwest","2","Cities from 100,000 thru 249,999",81,"Human Trafficking","Commercial Sex Acts",2,0,2,0
2016,"TX2201200","Fort Worth","","City","TX","Texas","West South Central","PARKER; DENTON; TARRANT","South","1B","Cities from 500,000 thru 999,999",82,"Human Trafficking","Involuntary Servitude",1,0,0,0
2016,"TX2270100","Austin","","City","TX","Texas","West South Central","WILLIAMSON; TRAVIS","South","1B","Cities from 500,000 thru 999,999",82,"Human Trafficking","Involuntary Servitude",2,0,0,0
2019,"NV0020100","Las Vegas Metropolitan Police Department","","City","NV","Nevada","Mountain","CLARK","West","1A","Cities 1,000,000 or over",81,"Human Trafficking","Commercial Sex Acts",15,0,4,0
2017,"AZ0070500","Chandler","","City","AZ","Arizona","Mountain","MARICOPA","West","2","Cities from 100,000 thru 249,999",81,"Human Trafficking","Commercial Sex Acts",1,0,0,0
2018,"ND0090200","Fargo","","City","ND","North Dakota","West North Central","CASS","Midwest","2","Cities from 100,000 thru 249,999",81,"Human Trafficking","Commercial Sex Acts",1,0,0,0
2020,"GA0380100","Newnan","","City","GA","Georgia","South Atlantic","COWETA","South","4","Cities from 25,000 thru 49,999",81,"Human Trafficking","Commercial Sex Acts",1,0,1,0
2020,"GA0440200","DeKalb County Police Department","","County","GA","Georgia","South Atlantic","DEKALB","South","9A","MSA counties 100,000 or over",81,"Human Trafficking","Commercial Sex Acts",2,0,0,0
2020,"GA0440200","DeKalb County Police Department","","County","GA","Georgia","South Atlantic","DEKALB","South","9A","MSA counties 100,000 or over",82,"Human Trafficking","Involuntary Servitude",1,0,0,0
2020,"GA0440200","DeKalb County Police Department","","County","GA","Georgia","South Atlantic","DEKALB","South","9A","MSA counties 100,000 or over",81,"Human Trafficking","Commercial Sex Acts",2,0,1,0
2020,"GA0440200","DeKalb County Police Department","","County","GA","Georgia","South Atlantic","DEKALB","South","9A","MSA counties 100,000 or over",81,"Human Trafficking","Commercial Sex Acts",5,0,0,0
2020,"GA0440200","DeKalb County Police Department","","County","GA","Georgia","South Atlantic","DEKALB","South","9A","MSA counties 100,000 or over",82,"Human Trafficking","Involuntary Servitude",1,0,0,0
2020,"GA0440200","DeKalb County Police Department","","County","GA","Georgia","South Atlantic","DEKALB","South","9A","MSA counties 100,000 or over",81,"Human Trafficking","Commercial Sex Acts",1,0,0,0
2020,"GA0440200","DeKalb County Police Department","","County","GA","Georgia","South Atlantic","DEKALB","South","9A","MSA counties 100,000 or over",81,"Human Trafficking","Commercial Sex Acts",1,0,1,0
2020,"GA0440200","DeKalb County Police Department","","County","GA","Georgia","South Atlantic","DEKALB","South","9A","MSA counties 100,000 or over",81,"Human Trafficking","Commercial Sex Acts",2,0,0,0
2017,"AZ0071700","Mesa","","City","AZ","Arizona","Mountain","MARICOPA","West","1C","Cities from 250,000 thru 499,999",81,"Human Trafficking","Commercial Sex Acts",1,0,0,0
2017,"LA0260000","Jefferson","","County","LA","Louisiana","West South Central","JEFFERSON","South","9A","MSA counties 100,000 or over",81,"Human Trafficking","Commercial Sex Acts",3,0,3,0
2020,"GA0990000","Meriwether","","County","GA","Georgia","South Atlantic","MERIWETHER","South","9C","MSA counties from 10,000 thru 24,999",81,"Human Trafficking","Commercial Sex Acts",1,0,0,0
2018,"LA0260000","Jefferson","","County","LA","Louisiana","West South Central","JEFFERSON","South","9A","MSA counties 100,000 or over",81,"Human Trafficking","Commercial Sex Acts",4,0,2,0
